date,city,cid,industry,platform,number,amount
202311,臺南市,D,零售業,使用載具,16690046,6712323468
202301,新北市,F,其他專業、科學及技術服務業,使用載具,9191,7511372
202311,高雄市,E,資訊服務業,無載具,343,1558827
202301,彰化縣,N,未分類其他服務業,無載具,4927,10997342
202311,臺北市,A,用水供應業,使用載具,704281,299725436
202301,屏東縣,T,水上運輸業,無載具,818,964840
202301,嘉義縣,Q,建築、工程服務及技術檢測、分析服務業,無載具,2,42220
202301,新北市,F,家具製造業,無載具,42,2314242
202301,宜蘭縣,G,電腦、電子產品及光學製品製造業,使用載具,20,9758
202301,臺中市,B,建築工程業,無載具,704,929350745
202301,南投縣,M,電力及燃氣供應業,使用載具,215904,307076154
202311,桃園市,H,成衣及服飾品製造業,無載具,1081,1655919
202301,臺南市,D,皮革、毛皮及其製品製造業,使用載具,2292,6501418
202301,桃園市,H,專門設計業,無載具,25426,46200814
202311,臺東縣,V,廣告業及市場研究業,使用載具,1,775
202311,臺中市,B,塑膠製品製造業,無載具,5206,20163454
202301,基隆市,C,零售業,使用載具,2143687,530090770
202301,宜蘭縣,G,倉儲業,無載具,1,1065578
202311,花蓮縣,U,航空運輸業,使用載具,4,448
202311,臺中市,B,其他化學製品製造業,使用載具,1817,4066719
202311,苗栗縣,K,郵政及快遞業,無載具,1789,997731
202301,新北市,F,木竹製品製造業,無載具,980,12451384
202301,宜蘭縣,G,漁業,無載具,35,145801
202311,彰化縣,N,專門設計業,使用載具,2,1787
202301,雲林縣,P,食品及飼品製造業,無載具,97525,115831073
202301,嘉義市,I,運動、娛樂及休閒服務業,使用載具,12012,14385666
202311,宜蘭縣,G,零售業,無載具,4259316,1776606962
202301,新竹縣,J,資訊服務業,使用載具,438,399053
202311,南投縣,M,運輸輔助業,無載具,97277,8595613
202311,高雄市,E,專門營造業,使用載具,386,3276254
202301,臺東縣,V,企業總管理機構及管理顧問業,無載具,113,127840
202301,新北市,F,石油及天然氣礦業,無載具,279625,79766316
202301,嘉義縣,Q,其他專業、科學及技術服務業,使用載具,186,290586
202301,南投縣,M,其他專業、科學及技術服務業,使用載具,61,6800
202301,宜蘭縣,G,餐飲業,無載具,739964,302752454
202301,桃園市,H,食品及飼品製造業,無載具,172160,210038958
202301,新北市,F,紙漿、紙及紙製品製造業,無載具,3848,13765009
202301,新竹市,O,其他專業、科學及技術服務業,使用載具,248,1663255
202301,彰化縣,N,廣告業及市場研究業,無載具,42,95850
202311,臺南市,D,專門設計業,無載具,1324,64852603
202311,新竹市,O,電力設備及配備製造業,無載具,93,175024
202311,宜蘭縣,G,未分類其他服務業,使用載具,3982,2220633
202301,基隆市,C,汽車及其零件製造業,無載具,212,239686234
202301,臺南市,D,未分類其他服務業,無載具,3255,10363119
202311,嘉義縣,Q,農、牧業,使用載具,146,232693
202311,臺南市,D,飲料製造業,無載具,3778,2099307
202301,苗栗縣,K,紡織業,無載具,145,344780
202311,臺東縣,V,行政支援服務業,無載具,1224,268478
202311,桃園市,H,汽車及其零件製造業,使用載具,1123,1181890
202311,基隆市,C,行政支援服務業,使用載具,5,4670
202311,苗栗縣,K,用水供應業,使用載具,91091,39134932
202311,澎湖縣,X,陸上運輸業,使用載具,3564,1327306
202311,花蓮縣,U,批發業,無載具,76732,303522815
202301,彰化縣,N,電力及燃氣供應業,無載具,274,583597
202311,桃園市,H,行政支援服務業,使用載具,25422,4384540
202311,新北市,F,農、牧業,無載具,5935,42394168
202311,新竹市,O,橡膠製品製造業,無載具,29,7888436
202311,宜蘭縣,G,廣播、電視節目編排及傳播業,使用載具,70812,40236139
202311,嘉義市,I,電力及燃氣供應業,無載具,100,24255
202311,宜蘭縣,G,漁業,無載具,7,63648
202311,新竹市,O,宗教、職業及類似組織,無載具,610,1719621
202311,高雄市,E,塑膠製品製造業,無載具,282,289215678
202301,澎湖縣,X,電力設備及配備製造業,使用載具,32,21840
202304,新竹縣,J,個人及家庭用品維修業,使用載具,1977,8220630
202304,新竹縣,J,食品及飼品製造業,使用載具,20014,7667425
202304,臺中市,B,廣播、電視節目編排及傳播業,無載具,809,1231534
202502,桃園市,H,人力仲介及供應業,無載具,28925,31638899
202502,屏東縣,T,餐飲業,使用載具,850693,229489157
202502,澎湖縣,X,廣播、電視節目編排及傳播業,無載具,14,12819
202502,宜蘭縣,G,人力仲介及供應業,無載具,8979,1544827
202502,嘉義市,I,農、牧業,使用載具,12,15163
202502,彰化縣,N,電子零組件製造業,無載具,542,231711316
202502,嘉義市,I,不動產開發業,無載具,15,15130000
